,Unnamed: 0,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate,Diff in Pop Rate 2018-2020
172,172,Norfolk ,VA,243585,242742,242234,-0.34608042367140834,-0.2092756918868593,0.13680473178454905
13,13,Little Rock ,AR,197484,197312,197371,-0.08709566344615259,0.029901881284463184,0.11699754473061577
127,127,Cleveland ,OH,383214,381009,379233,-0.5753965147411108,-0.4661307213215436,0.10926579341956716
82,82,Rockford ,IL,146307,145609,145020,-0.47707901877558834,-0.40450796310667614,0.0725710556689122
97,97,Detroit ,MI,672977,670031,667272,-0.43775641663831005,-0.4117719926391466,0.025984423999163453
129,129,Toledo ,OH,274864,272779,270651,-0.758556959077944,-0.7801187041524458,-0.021561745074501815
17,17,Corona ,CA,168476,169868,171213,0.8262304423181938,0.7917912732239151,-0.03443916909427869
114,114,Albuquerque ,NM,559629,560513,561188,0.15796179254470374,0.12042539602114491,-0.037536396523558835
1,1,Huntsville ,AL,198125,200574,202910,1.2360883280757098,1.1646574331668114,-0.07143089490889842
62,62,Cape Coral ,FL,189468,194495,199503,2.6532184854434524,2.574873390061441,-0.07834509538201129
52,52,Sunnyvale ,CA,152807,152703,152427,-0.06805970930651083,-0.18074301094281056,-0.11268330163629973
6,6,Mesa ,AZ,507945,518012,527666,1.981907489984152,1.8636633900372963,-0.1182440999468557
41,41,Roseville ,CA,138953,141500,143921,1.8329938900203666,1.7109540636042402,-0.12203982641612643
5,5,Glendale ,AZ,249955,252381,254500,0.9705747034466203,0.8396036151691292,-0.13097108827749115
160,160,Lubbock ,TX,256469,258862,260823,0.9330562368161455,0.7575464919532415,-0.17550974486290394
120,120,Durham ,NC,274557,278993,282737,1.615693644671234,1.3419691533479334,-0.27372449132330057
8,8,Phoenix ,AZ,1654675,1680992,1703080,1.5904633840482267,1.3139860272981667,-0.27647735675006
16,16,Chula Vista ,CA,270819,274492,277289,1.3562563926460107,1.0189732305495243,-0.33728316209648646
58,58,Lakewood ,CO,156682,157935,158660,0.7997089646545231,0.4590496090163675,-0.34065935563815564
54,54,Aurora ,CO,374572,379289,382742,1.2593039522441614,0.9103875936291325,-0.3489163586150289
107,107,Henderson ,NV,309518,320189,330084,3.447618555302115,3.0903622547932628,-0.35725630050885204
110,110,Reno ,NV,250146,255601,260258,2.1807264557498423,1.8219803521895455,-0.3587461035602968
33,33,Oakland ,CA,429056,433031,435224,0.9264524910501193,0.5064302555706174,-0.4200222354795019
3,3,Montgomery ,AL,198899,198525,197282,-0.18803513340941885,-0.6261176174285354,-0.4380824840191166
2,2,Mobile ,AL,189809,188720,186804,-0.5737346490419316,-1.0152607036880035,-0.44152605464607186
23,23,Garden Grove ,CA,172195,171644,170328,-0.3199860623130753,-0.7667031763417306,-0.44671711402865527
148,148,Corpus Christi ,TX,326307,326586,325406,0.08550230304590462,-0.3613137121615746,-0.4468160152074792
89,89,Wichita ,KS,389231,389938,388771,0.18164020851371038,-0.2992783468141089,-0.4809185553278193
