,City,State,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
456,Columbus,IN,156470.0,157341.0,158350.0,159411.0,160185.0,160702.0,161146.0,161749.0,162402.0,163186.0,164038.0,165288.0,166362.0,167674.0,168651.0,170103.0,171124.0,171815.0,172062.0,172382.0,173038.0,173593.0,174365.0,174941.0,175776.0,175961.0,176389.0,176497.0,177117.0,178146.0,179608.0
457,Roanoke Rapids,NC,64276.0,64458.0,64531.0,64655.0,64660.0,64783.0,64931.0,65113.0,65370.0,65639.0,65884.0,65938.0,65993.0,66041.0,66264.0,66376.0,66494.0,66603.0,66789.0,66963.0,67026.0,66998.0,66983.0,67131.0,67340.0,67534.0,67643.0,67786.0,67974.0,68097.0,68152.0
458,Centralia,WA,219470.0,222113.0,225230.0,227506.0,229670.0,230801.0,231495.0,231994.0,232979.0,234576.0,236682.0,239090.0,241289.0,243228.0,245203.0,247870.0,250143.0,252133.0,253019.0,254001.0,255027.0,256417.0,257766.0,259395.0,261608.0,264011.0,266523.0,268785.0,271657.0,275539.0,281083.0
459,Casper,WY,199670.0,200257.0,201775.0,203586.0,205334.0,207059.0,208325.0,209303.0,209852.0,210247.0,210982.0,211852.0,213041.0,214073.0,215374.0,216153.0,216733.0,216976.0,217782.0,218834.0,219963.0,221196.0,222299.0,223430.0,224250.0,224896.0,225173.0,225723.0,226434.0,227180.0,227648.0
460,Helena,MT,261309.0,262826.0,264186.0,265573.0,267192.0,267853.0,268189.0,268212.0,269014.0,269822.0,270685.0,272089.0,273544.0,275895.0,278015.0,280113.0,280983.0,282362.0,283286.0,284639.0,285135.0,286120.0,287328.0,288289.0,289283.0,289501.0,290055.0,290659.0,292253.0,293974.0,296249.0
461,Findlay,OH,136388.0,137362.0,137984.0,138492.0,138612.0,138937.0,138978.0,139989.0,140560.0,140998.0,141096.0,141399.0,142040.0,142821.0,143945.0,145100.0,145892.0,146806.0,147796.0,148577.0,149463.0,150519.0,151583.0,152554.0,153240.0,154170.0,155136.0,156190.0,157794.0,159359.0,160968.0
462,Wisconsin Rapids-Marshfield,WI,105771.0,106440.0,107058.0,107614.0,108010.0,108406.0,108721.0,109144.0,109522.0,109986.0,110374.0,110864.0,111331.0,111804.0,112328.0,112873.0,113454.0,113925.0,114331.0,114668.0,114878.0,115107.0,115364.0,115528.0,115678.0,115769.0,115825.0,115871.0,115934.0,116049.0,116206.0
463,Palatka,FL,109805.0,110529.0,111411.0,112344.0,112845.0,113766.0,114765.0,116529.0,117402.0,117919.0,118525.0,120050.0,121374.0,122336.0,123122.0,123570.0,124310.0,124668.0,125578.0,126059.0,126959.0,128251.0,130027.0,131269.0,132434.0,133434.0,134520.0,135933.0,137387.0,139048.0,140343.0
464,Seneca,SC,149196.0,150534.0,152077.0,153548.0,154862.0,156383.0,157144.0,158154.0,158934.0,160159.0,161936.0,163581.0,164926.0,165056.0,165125.0,165013.0,165454.0,165749.0,166725.0,167260.0,167843.0,168240.0,168819.0,169556.0,170388.0,171483.0,172593.0,173902.0,174931.0,176028.0,177067.0
465,Mount Airy,NC,122492.0,123018.0,123420.0,123882.0,124277.0,124767.0,124974.0,125443.0,125932.0,126695.0,127300.0,127766.0,128246.0,128611.0,129018.0,129393.0,129815.0,130360.0,130834.0,131054.0,131065.0,131002.0,131212.0,131472.0,131745.0,131956.0,132165.0,132336.0,132468.0,132393.0,132465.0
