,City,State,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19
178,Savannah,GA,173786,174556,175611,176286,176788,177132,177984,178671,179494,179961,180698,181462
179,Fredericksburg,VA,306074,307786,308688,309212,310066,311427,312241,313068,313893,315165,316102,316334
180,Killeen,TX,131371,131870,132470,133336,134315,135332,136266,136832,137457,138170,139069,140034
181,Palmdale,CA,313869,313104,312399,312338,314307,316962,318113,318622,319026,320495,321580,323431
182,Roanoke,VA,158519,159335,160261,160990,161944,162664,163445,164205,164712,165279,165740,166307
183,Newport News,VA,180879,181671,182222,182633,183240,183699,184192,184151,184433,185041,185634,186389
184,El Cajon,CA,499994,498317,497483,499653,501953,505663,508664,510252,510128,510002,511552,514087
185,Clarksville,TN,185419,185949,185686,185877,185866,186378,186722,187290,188179,189046,190310,191358
186,Jackson,MS,47590,47630,47896,48239,48423,48782,48733,48378,47685,47439,47221,46984
187,Elk Grove,CA,437950,437299,436583,438129,441108,444606,445935,446056,446724,448305,450985,453115
188,Peoria,AZ,287383,288589,289546,289890,290830,292467,294395,296125,297293,298837,300747,303073
189,Sugar Land,TX,323295,323506,323822,322915,322115,321871,322599,322713,322871,322810,323275,323544
190,Naperville,IL,389139,389365,389570,390759,391870,392584,392395,391380,390639,390224,390083,390568
191,Fairfax,VA,552869,555603,558424,560921,563257,564056,565102,566037,568153,570901,573831,576822
192,Boynton Beach,FL,256848,256363,256524,257231,258806,259869,260670,260871,260402,260180,260469,260878
193,Topeka,KS,115743,116543,117452,118149,118544,118248,118032,118216,119118,119871,120284,120895
194,McKinney,TX,339170,339485,338671,337882,337693,337655,337522,337138,337456,337600,337722,337262
195,Lafayette,LA,172803,172272,171648,171848,172213,172760,172799,173265,173408,173503,173248,173093
196,Pembroke Pines,FL,307238,307695,307890,307830,307494,308036,309173,309986,310836,311699,312580,313038
197,Edmond,OK,246776,247780,248054,248453,248811,249761,251094,251987,252784,253390,254107,254557
198,Lakeland,FL,166181,167076,167570,167543,168659,169678,171012,171483,171576,171425,171948,173061
199,Pueblo,CO,176567,177833,179000,180294,181544,182920,184056,184742,185588,186518,187907,188964
200,Springfield,MA,164195,164083,165098,166888,169126,169884,170400,170668,171446,172318,173332,174227
201,Odessa,TX,174739,175462,176684,177937,179233,180247,181395,182445,183464,184268,184927,185469
202,Henrico,VA,252941,254121,254374,254048,253668,254169,254956,256554,257706,258408,258162,258526
203,Dayton,OH,55020,55252,55235,55591,56134,56948,57513,57978,58312,58842,59369,59940
204,Midland,TX,266574,268476,269459,269863,270761,271986,273198,272905,272486,272021,271408,269794
205,Lakewood,CO,421578,423179,425208,426999,427462,428865,429934,430999,431014,431710,431769,433496
206,Cumming,GA,347437,349627,350964,350858,348892,348986,350045,351765,352177,352504,352493,353542
207,Alexandria,VA,509954,511563,513968,517059,521360,522715,524137,525421,529642,532721,535405,537386
208,Tyler,TX,149816,150380,151517,152843,154464,155683,156877,157773,158778,159720,161063,162467
209,Pomona,CA,434266,432834,431587,431484,434363,438086,439117,439430,440111,442598,444442,447139
210,Visalia,CA,249342,248342,247864,247994,249049,249318,248558,247853,248192,249976,250921,251563
211,Cypress,TX,268124,269068,269141,268651,268738,269565,270500,271024,270780,270794,270915,271390
212,Round Rock,TX,311365,314135,316679,317328,317936,318687,319942,320320,320170,317907,315623,313864
213,Ann Arbor,MI,382327,383552,384866,383931,384538,384525,385359,385264,383182,380977,379661,380620
214,Whittier,CA,539286,536363,533436,532384,535401,539667,540755,540740,540981,543290,544711,547472
215,Kansas City,KS,108803,108859,109438,109465,109802,110474,111666,112830,113300,113692,113919,114728
216,Sunnyvale,CA,1580877,1547950,1520224,1510965,1503596,1494901,1478305,1466520,1469410,1476006,1485895,1495774
217,Hollywood,FL,277949,278785,279189,279427,279363,280239,281398,282136,282647,283312,283790,283948
218,Las Cruces,NM,181118,182367,182066,181259,181487,181997,182744,182560,182220,181108,179637,178440
219,Edinburg,TX,130315,130468,130627,130873,131315,131764,132460,132833,133236,133418,133641,133977
220,Conroe,TX,238470,239059,240007,240617,241442,242419,243175,243816,243896,244039,243890,244624
221,Lansing,MI,95468,96072,96578,97129,97812,98315,98530,98635,99032,99755,100314,100616
222,South Bend,IN,106546,106975,107604,107421,108010,108520,109392,110326,110971,111658,112100,112751
223,Cary,NC,382337,384527,385434,385484,385175,386363,387646,388055,387931,388379,389032,389703
224,Paterson,NJ,267973,269397,271590,274576,277085,279538,283021,286659,289471,291723,293918,296516
225,Pasadena,TX,152051,153075,153562,153730,154170,155170,156220,157197,157689,158349,158858,159648
226,Beaumont,TX,115965,116198,116669,116895,116848,116783,117169,117903,118424,118823,119134,119633
227,Yuma,AZ,159650,160330,162316,164367,165273,165533,166095,166649,167198,167659,168655,170554
228,Frisco,TX,428897,428930,427634,426459,425886,425790,425547,425134,425053,424756,424684,424212
229,Columbia,MO,193141,193877,194443,194876,195214,195597,195918,196222,196917,197767,198847,199687
230,Syracuse,NY,95029,95021,94934,95466,96269,97043,97559,98229,98858,99605,100102,100714
231,Pasadena,CA,828271,823521,818873,817296,821734,828880,828154,825844,823667,827294,829373,832677
232,Bridgeport,CT,195589,196060,196581,198231,200892,202345,203157,203153,203066,203469,203573,204729
233,Macon,GA,82339,82890,83459,83745,84027,84551,85246,86024,86520,87058,87232,87538
234,Canton,OH,102310,103055,103611,104011,104560,105344,106304,107002,107468,107883,108337,108981
235,Newark,DE,246829,247597,248460,248267,247336,246056,245370,245241,245317,245201,245115,245281
236,Mesquite,TX,182557,183729,184586,185240,185704,186158,186694,187341,188256,188627,188976,188790
237,Renton,WA,481658,477513,474932,473963,475640,477670,480628,482348,483414,484482,488124,493523
238,Metairie,LA,261946,261771,261848,261793,262680,263423,264539,265231,265591,265948,266128,266928
239,Santa Maria,CA,395857,396558,396113,394866,394485,397101,400219,402006,402060,403245,405010,406641
240,Torrance,CA,829835,826103,822497,822251,826984,834167,834938,835228,835394,839776,842140,845941
241,Clearwater,FL,199468,199430,199280,199206,200095,200851,201637,201866,202427,202738,203562,204224
242,Fullerton,CA,658368,656114,654226,653754,656355,658746,661814,661684,663778,664544,665889,667049
243,McAllen,TX,138964,138898,138976,139404,140170,140809,141401,141694,141936,142237,142830,143655
244,Orange,CA,708696,706550,704529,703413,706091,708681,711841,711297,712823,713339,714501,715446
245,Compton,CA,408961,407286,405663,406270,409313,413383,414529,415353,416601,419520,422179,425173
246,Hampton,VA,175057,176637,177274,177396,177481,177811,178238,178419,178770,179053,179690,179529
247,Bellevue,WA,913388,904837,897903,893118,894070,895487,897358,897294,896899,897527,903052,911584
248,Inglewood,CA,561315,559124,557400,557327,561489,567290,569521,569847,569866,572937,575892,581064
249,Kent,WA,405147,402697,401014,400430,402473,404981,408137,409855,411156,412523,415974,420496
250,West Valley City,UT,293382,295822,297451,298713,299665,301314,302464,303870,305312,306703,308225,309469
251,Olathe,KS,274213,274901,275316,275678,275666,276193,276714,277483,278001,279040,279673,280163
252,Warren,MI,134328,134995,135215,135168,136115,137340,138828,138923,139191,139319,139960,140627
253,Miramar,FL,317413,317957,318258,318197,317705,318230,319543,320589,321578,322572,323580,324247
254,Thornton,CO,391326,391786,391610,391838,391110,391946,392897,393851,394087,394803,395279,396440
255,Abilene,TX,139348,139371,139445,139745,140080,140229,140317,140983,141691,142283,142079,142017
256,Billings,MT,251883,252724,254130,253830,252999,254680,255776,258828,257678,257093,255470,256173
257,Concord,CA,530466,531750,531242,531549,534969,536835,534892,530741,526987,528209,530839,533902
258,Cedar Rapids,IA,143321,143930,144681,145467,145384,145255,145027,145312,145462,145532,145767,146054
